Partiel,RPM,Speed GPS,T1,T2,Gf. X,Gf. Y,Orientation,Speed rear,Lat.,Lon.,Altitude
1,14858,1044,496,6765,1080,980,6618,0,-3.469759169939124E7,-5.8467969053910784E7,70
1,14745,1049,496,6778,1079,994,6793,0,-34697583,-58467942,70
1,14951,1054,496,6801,1064,987,6901,0,-34697574,-58467914,70
1,14869,1057,496,6824,1045,994,7039,0,-34697566,-58467884,70
1,15011,1059,496,6846,1033,986,7201,0,-34697558,-58467852,70
1,14940,1064,496,6863,1020,999,7306,0,-34697551,-58467822,70
1,15011,1068,496,6880,1004,998,7385,0,-34697544,-58467791,70
1,15064,1067,496,6900,995,998,7484,0,-34697538,-58467761,70
1,15267,1065,496,6918,990,990,7509,0,-34697531,-58467729,70
1,15170,1070,497,6925,981,986,7531,0,-34697524,-58467697,80
1,15247,1074,496,6898,980,994,7546,0,-34697518,-58467666,80
1,15209,1078,497,6883,972,988,7533,0,-34697511,-58467636,80
1,15236,1080,497,6876,973,996,7518,0,-34697504,-58467604,80
1,15384,1083,497,6872,968,985,7483,0,-34697496,-58467572,80
1,15321,1087,498,6882,971,997,7465,0,-34697489,-58467541,80
1,15368,1090,497,6907,980,991,7417,0,-34697481,-58467509,80
1,15412,1093,498,6946,997,995,7402,0,-34697474,-58467477,80
1,15408,1093,497,6964,1011,993,7333,0,-34697466,-58467446,80
1,15396,1097,497,6962,1028,993,7306,0,-34697458,-58467412,80
1,15412,1099,497,6931,1055,1001,7250,0,-34697449,-58467382,80
1,15376,1100,497,6900,1062,997,7224,0,-34697441,-58467349,80
1,15396,1100,498,6855,1086,1001,7273,0,-34697433,-58467317,80
1,15388,1099,497,6793,1105,1001,7320,0,-34697426,-58467286,80
1,15380,1101,498,6741,1114,1007,7387,0,-34697418,-58467254,80
1,15416,1099,498,6697,1119,1003,7447,0,-34697411,-58467222,80
1,15420,1095,498,6644,1146,1000,7602,0,-34697404,-58467189,80
1,15360,1095,499,6596,1136,993,7695,0,-34697399,-58467157,80
1,15400,1097,499,6560,1140,1002,7901,0,-34697394,-58467124,80
1,15372,1098,500,6532,1178,1014,8103,0,-34697391,-58467092,80
1,15412,1097,499,6516,1179,1016,8219,0,-34697388,-58467059,80
1,15376,1087,500,6516,1158,1005,8412,0,-34697386,-58467026,80
1,15408,1081,500,6536,1185,1008,8685,0,-34697386,-58466992,80
1,15333,1085,500,6547,1189,1004,8827,0,-34697384,-58466959,80
1,15306,1081,501,6554,1164,1007,9055,0,-34697386,-58466927,80
1,15384,1075,500,6583,1189,1013,9443,0,-34697389,-58466896,90
1,15294,1079,502,6605,1196,1009,9645,0,-34697394,-58466862,90
1,15337,1070,500,6609,1182,1015,9783,0,-34697398,-58466831,90
1,15247,1064,501,6640,1189,998,10117,0,-34697404,-58466799,80
1,15033,1067,500,6661,1181,1001,10374,0,-34697413,-58466767,80
1,15094,1063,500,6651,1160,1007,10593,0,-34697421,-58466737,80
1,15302,1064,500,6647,1164,1026,10983,0,-34697431,-58466707,80
1,15101,1062,499,6669,1150,1057,11171,0,-34697443,-58466677,80
1,14966,1043,500,6697,1138,1080,11417,0,-34697454,-58466650,80
1,13565,1016,499,6745,1146,1082,11729,0,-34697468,-58466621,80
1,11895,985,499,6776,1123,1076,11894,0,-34697481,-58466593,80
1,11419,954,499,6728,1129,1077,12153,0,-34697496,-58466568,80
1,11914,931,498,6587,1135,1084,12399,0,-34697509,-58466543,80
1,11435,902,498,6306,1118,1091,12574,0,-34697524,-58466521,80
1,10190,867,497,5971,1115,1075,12864,0,-34697539,-58466500,80
1,10436,837,497,5620,1117,1068,13155,0,-34697556,-58466480,80
1,10593,814,497,5253,1107,1070,13271,0,-34697571,-58466461,80
1,9227,791,498,4977,1090,1063,13679,0,-34697588,-58466445,80
1,10070,763,497,4756,1094,1065,13987,0,-34697603,-58466430,80
1,10000,742,497,4559,1085,1056,14173,0,-34697619,-58466415,80
1,9347,722,497,4421,1084,1060,14537,0,-34697636,-58466401,80
1,9678,698,496,4304,1083,1055,14724,0,-34697651,-58466390,80
1,9451,680,497,4191,1094,1055,15125,0,-34697668,-58466381,80
1,9068,660,496,4111,1094,1061,15271,0,-34697684,-58466371,80
1,8393,639,496,4031,1098,1054,15585,0,-34697699,-58466365,80
1,8548,617,496,3949,1104,1056,15919,0,-34697716,-58466358,80
1,8438,598,495,3880,1103,1052,16144,0,-34697731,-58466351,80
1,8347,580,495,3811,1105,1056,16684,0,-34697746,-58466350,80
1,7950,559,495,3755,1107,1053,17124,0,-34697761,-58466348,90
1,7590,540,496,3704,1102,1037,17538,0,-34697774,-58466346,90
1,7689,522,496,3660,1091,1033,18098,0,-34697789,-58466348,90
1,7375,511,496,3601,1091,1020,18591,0,-34697803,-58466351,90
1,7263,502,496,3555,1086,1014,19315,0,-34697814,-58466356,90
1,7017,494,496,3487,1088,1011,19981,0,-34697826,-58466363,80
1,7284,493,496,3412,1091,998,20605,0,-34697838,-58466371,80
1,7230,489,496,3351,1102,1007,21186,0,-34697848,-58466380,80
1,7362,492,496,3346,1096,991,21443,0,-34697858,-58466388,80
1,7229,496,495,3400,1096,992,22275,0,-34697866,-58466400,80
1,7055,495,497,3514,1094,999,22838,0,-34697873,-58466411,80
1,7176,503,495,3683,1091,1008,23553,0,-34697879,-58466425,80
1,7109,500,495,3914,1089,1006,24260,0,-34697883,-58466438,80
1,7547,491,495,4108,1089,986,24864,0,-34697886,-58466453,80
1,7427,502,495,4310,1091,972,25457,0,-34697889,-58466468,80
1,7690,517,496,4461,1093,990,25992,0,-34697889,-58466483,80
1,7871,526,495,4603,1095,991,26689,0,-34697889,-58466496,70
1,8008,529,496,4719,1096,998,27236,0,-34697888,-58466513,70
1,8062,527,495,4837,1096,996,27725,0,-34697884,-58466528,70
1,8375,532,495,4938,1106,994,28278,0,-34697879,-58466543,70
1,8317,532,495,5024,1100,996,28799,0,-34697874,-58466558,70
1,8605,532,494,5101,1107,984,29466,0,-34697868,-58466571,70
1,8911,537,495,5169,1102,979,30015,0,-34697859,-58466585,70
1,8550,542,494,5226,1104,968,30518,0,-34697849,-58466596,70
1,8468,552,495,5269,1089,969,31076,0,-34697839,-58466608,70
1,8568,565,495,5309,1084,964,31852,0,-34697828,-58466618,70
1,8646,576,494,5351,1060,970,32314,0,-34697816,-58466626,70
1,8765,587,494,5378,1038,956,32979,0,-34697803,-58466635,70
1,8789,600,495,5403,1004,956,33292,0,-34697789,-58466641,70
1,8988,615,495,5430,972,951,33810,0,-34697774,-58466648,70
1,9128,634,494,5450,938,958,34114,0,-34697759,-58466653,70
1,9460,650,496,5472,918,962,34385,0,-34697744,-58466658,70
1,9680,664,495,5491,902,958,34402,0,-34697729,-58466663,70
1,9983,677,495,5514,888,960,34231,0,-34697714,-58466667,70
1,10242,693,496,5547,879,965,33994,0,-34697699,-58466676,70
1,10561,708,496,5599,874,981,33653,0,-34697683,-58466684,70
1,10781,718,497,5645,862,988,33279,0,-34697668,-58466694,70
1,11063,722,496,5688,857,989,32961,0,-34697653,-58466706,70
1,11152,724,497,5727,855,985,32571,0,-34697639,-58466717,70
1,11078,730,496,5760,852,990,32163,0,-34697624,-58466732,70
1,10982,736,496,5782,861,1001,31720,0,-34697613,-58466747,70
1,10986,738,496,5806,854,991,31313,0,-34697601,-58466766,70
1,10814,735,495,5840,867,995,30840,0,-34697591,-58466784,70
1,10851,741,497,5865,874,981,30411,0,-34697581,-58466802,70
1,11580,747,495,5872,878,997,29977,0,-34697573,-58466822,70
1,11435,750,496,5860,875,987,29508,0,-34697566,-58466844,70
1,11691,753,496,5843,879,980,29253,0,-34697559,-58466864,70
1,12140,755,496,5827,873,969,28692,0,-34697554,-58466887,70
1,11773,767,497,5835,873,960,28472,0,-34697551,-58466909,70
1,11716,780,497,5873,872,961,28151,0,-34697548,-58466932,70
1,12190,793,499,5914,876,959,27776,0,-34697546,-58466956,70
1,11757,809,497,5960,893,958,27494,0,-34697546,-58466979,70
1,12165,822,497,6019,899,969,27043,0,-34697548,-58467004,70
1,12135,836,497,6071,916,961,26764,0,-34697549,-58467029,70
1,12305,847,497,6098,938,963,26493,0,-34697553,-58467054,70
1,12989,859,498,6130,950,956,26174,0,-34697556,-58467079,70
1,12455,876,497,6167,967,963,25977,0,-34697561,-58467104,70
1,12774,890,499,6192,980,965,25780,0,-34697566,-58467129,70
1,12842,903,497,6219,987,965,25610,0,-34697573,-58467156,70
1,13103,915,497,6258,993,965,25555,0,-34697578,-58467181,70
1,13129,928,497,6283,1003,969,25501,0,-34697584,-58467207,70
1,13315,940,496,6315,1002,972,25455,0,-34697591,-58467234,70
1,13434,950,497,6338,1003,975,25447,0,-34697598,-58467262,70
1,13599,960,496,6358,1001,977,25423,0,-34697603,-58467289,70
1,13676,969,498,6388,999,975,25437,0,-34697609,-58467317,70
1,13818,976,497,6404,991,975,25438,0,-34697616,-58467344,70
1,14005,986,497,6420,995,977,25491,0,-34697623,-58467374,70
1,14058,996,497,6440,993,977,25471,0,-34697629,-58467402,70
1,14147,1002,497,6468,987,979,25459,0,-34697636,-58467431,70
1,14302,1010,498,6494,984,980,25452,0,-34697643,-58467459,70
1,14354,1019,496,6537,983,981,25443,0,-34697649,-58467489,70
1,14538,1024,498,6582,974,984,25427,0,-34697656,-58467519,70
1,14538,1031,496,6622,968,983,25435,0,-34697664,-58467549,70
2,14641,1037,496,6660,970,986,25407,0,-34697671,-58467579,70
2,14760,1041,496,6691,965,984,25358,0,-34697679,-58467609,70
2,14840,1047,496,6717,954,985,25327,0,-34697686,-58467639,70
2,14866,1053,497,6744,942,992,25301,0,-34697694,-58467669,70
2,14977,1058,497,6768,943,1013,25247,0,-34697703,-58467699,70
2,15033,1059,498,6793,931,1039,25178,0,-34697711,-58467729,70
2,15105,1050,497,6817,926,1066,25141,0,-34697719,-58467759,70
2,14405,1030,497,6849,917,1064,25080,0,-34697729,-58467791,70
2,12828,1003,497,6863,923,1075,24975,0,-34697738,-58467821,70
2,12889,980,497,6812,911,1061,24831,0,-34697748,-58467849,70
2,12861,955,498,6669,916,1080,24765,0,-34697758,-58467877,70
2,12430,930,497,6401,923,1066,24618,0,-34697768,-58467904,70
2,12138,905,499,6035,924,1074,24503,0,-34697779,-58467931,70
2,11352,877,498,5677,934,1064,24293,0,-34697789,-58467956,60
2,11025,855,498,5378,940,1062,24165,0,-34697801,-58467981,60
2,11045,831,498,5031,937,1057,23956,0,-34697813,-58468002,60
